Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BOOT,
"C1, C10, C28, C32, C8",0805,5,100nF 50V,
"C11, C14, C15, C16, C2, C3, C4, C6, C9",0805,9,18nF,
"C12, C17, C18, C19, C5",0805,5,0.1uF,
C13,CAPAE430X550N,1,10 uF,
"C20, C24, C31",0805,3,100nF,
"C21, C22, C23",0805,3,18nF 50V,
"C25, C26",CAPAE530X550N,2,22uF,
C27,0805,1,0.01uF,
"C29, C30",CAPAE830X1050N,2,220uF,
C7,0805,1,10uF 10V,
D1,SOD2513X120N,1,BAT760-7,
D2,SOD3716X145N,1,1N5819HW-7-F,
"D3, D4, D5",SODFL3824X140N,3,SZSMF4L5.0AT3G,
"D6, D7",D_SMA,2,B140HW-7,
EN1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,EN,
"H1, H2, H3, H4",MountingHole_2.7mm_Pad_Via,4,MountingHole_Pad,
IC1,QFP50P900X900X120-48N,1,ATM90E32AS-AU-R,
IC2,SOT95P280X130-5N,1,NJM2882F33-TE1,
IC3,SOT95P280X100-6N,1,AP63203WU-7,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,JUMPER,
JP2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
JP3,PinSocket_1x04_P2.54mm_Vertical,1,OLED-A,
JP4,PinSocket_1x04_P2.54mm_Vertical,1,OLED-B,
"JP5, JP6",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
JP7,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
"JP8, PM1, PM2",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,3,SolderJumper_3_Open,
"K1, K4",TerminalBlock_RND_205-00236_1x06_P5.08mm_Horizontal,2,Screw_Terminal_01x06,
K2,GSB1C41110SSHR,1,GSB1C41110SSHR,
K3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Qwiic,
L1,SRN6028C3R9M,1,SRN6028C-3R9M,
"LED1, LED7, LED8",0805,3,NCD0805R1,
LED2,0805,1,NCD0805G1,
LED3,LEDM2012X80N,1,150080RS75000,
LED4,LEDM2012X80N,1,150080GS75000,
LED5,LEDM2012X80N,1,150080BS75000,
LED6,LEDM2012X80N,1,150080AS75000,
MOD1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
"R1, R12, R13, R14, R15, R23, R24, R25, R4, R5, R8, R9",0805,12,1k,
"R10, R11, R2, R3, R6, R7",0805,6,2R4,
"R16, R18, R19, R20, R21, R22",0805,6,10K,
"R26, R27, R33, R34, R35, R36, R38, R40",0805,8,80R,
"R28, R29, R30, R37",0805,4,100k,
"R31, R32",0805,2,4.7k,
R39,0805,1,0R,
"S1, S2",PTS526SM15SMTR2LFS,2,PTS526_SM15_SMTR2_LFS,
X1,ABM8G,1,ABM8G-16.384MHZ-B4Y-T,
