Designator,Mid X,Mid Y,Rotation,Layer
C1,139.7,-110.998,0.0,top
C10,138.43,-82.042,180.0,top
C11,130.556,-50.0165,270.0,top
C12,131.826,-55.88,90.0,top
C13,127.254,-55.88,180.0,top
C14,118.872,-64.5375,270.0,top
C15,121.158,-60.452,90.0,top
C16,121.142,-56.4095,90.0,top
C17,108.966,-93.726,270.0,top
C18,107.95,-108.923,180.0,top
C19,107.966,-106.653,180.0,top
C2,151.638,-49.784,90.0,top
C20,148.59,-61.722,180.0,top
C21,113.792,-47.7305,90.0,top
C22,108.966,-47.768,90.0,top
C23,120.65,-47.752,90.0,top
C24,144.526,-64.008,0.0,top
C25,152.908,-91.44,180.0,top
C26,161.798,-91.44,180.0,top
C27,162.052,-101.854,90.0,top
C28,115.518,-55.372,270.0,top
C29,102.61,-75.184,180.0,top
C3,147.574,-49.784,270.0,top
C30,101.854,-64.516,270.0,top
C31,104.902,-54.356,90.0,top
C32,102.108,-54.356,270.0,top
C4,142.24,-49.784,90.0,top
C5,144.526,-61.722,0.0,top
C6,140.208,-49.784,270.0,top
C7,144.526,-59.436,0.0,top
C8,138.4515,-80.01,180.0,top
C9,132.588,-50.038,90.0,top
D1,104.14,-90.17,180.0,top
D2,166.878,-101.6,270.0,top
D3,155.448,-101.092,270.0,top
D4,170.942,-101.6,270.0,top
D5,152.4,-101.092,270.0,top
D6,100.076,-46.482,0.0,top
D7,100.076,-50.292,0.0,top
IC1,135.632,-63.113,270.0,top
IC2,162.052,-97.536,180.0,top
IC3,111.454,-55.372,0.0,top
JP1,144.018,-103.627,0.0,top
JP2,97.028,-90.17,0.0,top
JP3,129.286,-71.12,270.0,top
JP4,129.286,-75.184,270.0,top
JP5,172.745,-44.196,0.0,top
JP6,172.745,-65.547,0.0,top
JP7,172.72,-87.376,0.0,top
K1,137.668,-39.624,0.0,top
K2,156.464,-109.728,0.0,top
K3,98.56611,-84.19573,270.0,top
K4,106.172,-39.624,0.0,top
L1,111.288,-62.23,180.0,top
LED1,115.579,-82.296,180.0,top
LED2,115.579,-77.3315,180.0,top
LED3,161.036,-61.722,270.0,top
LED4,161.036,-57.658,270.0,top
LED5,161.036,-53.34,270.0,top
LED6,161.036,-48.768,270.0,top
LED7,115.577,-87.258,0.0,top
LED8,115.57,-72.644,0.0,top
MOD1,124.092,-101.468,180.0,top
R1,153.765,-49.784,90.0,top
R10,133.35,-46.99,0.0,top
R11,129.54,-46.99,0.0,top
R12,128.27,-50.022,90.0,top
R13,121.158,-64.516,90.0,top
R14,118.872,-60.4145,90.0,top
R15,118.856,-56.372,90.0,top
R16,107.966,-104.113,180.0,top
R18,138.43,-90.17,0.0,top
R19,138.43,-86.106,0.0,top
R2,152.654,-46.736,0.0,top
R20,138.43,-88.138,0.0,top
R21,138.4675,-84.074,0.0,top
R22,148.59,-64.008,180.0,top
R23,116.078,-47.7305,270.0,top
R24,106.426,-47.768,270.0,top
R25,122.936,-47.752,270.0,top
R26,115.572,-80.01,0.0,top
R27,115.577,-75.0455,0.0,top
R28,118.364,-47.768,90.0,top
R29,111.506,-47.768,90.0,top
R3,148.59,-46.736,180.0,top
R30,125.222,-47.7895,90.0,top
R31,158.496,-101.854,270.0,top
R32,149.606,-101.6,90.0,top
R33,163.322,-61.722,90.0,top
R34,163.338,-57.658,90.0,top
R35,163.302,-53.331,90.0,top
R36,163.302,-49.004,90.0,top
R37,167.894,-96.52,0.0,top
R38,115.57,-84.972,180.0,top
R39,106.934,-54.356,270.0,top
R4,149.606,-49.784,90.0,top
R40,115.554,-70.104,180.0,top
R5,144.272,-49.784,90.0,top
R6,143.002,-46.736,0.0,top
R7,139.192,-46.736,0.0,top
R8,138.16,-49.768,90.0,top
R9,134.62,-50.038,90.0,top
S1,147.828,-79.936,180.0,top
S2,156.972,-79.936,180.0,top
X1,126.408,-65.698,180.0,top
