Date:,01/03/2024 16:43,,,,,,,
Tool:,,,,,,,,
Generator:,,,,,,,,
Component Count:,,,108,,,,,
Ref,Mouser Number,5 Qty,Qty,,Value,Cmp name,Footprint,Description
,,,,,,,,
"C1, C2, C3, C5, C8, C10, C13, C14, C15, C20, C21, C22",80-C0805C183K2RACTU,60,12,,18nF,C0805C183K2RACTU,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol"
"C4, C11, C16, C17, C18",80-C0805C104M5RAC,25,5,,0.1uF,C0805C104M5RAC,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol"
C6,710-865090340001,5,1,,10 uF,8.6509E+11,SamacSys_Parts:CAPAE430X550N,"Wurth Elektronik 4.7uF 16 V dc Aluminium Electrolytic Capacitor, WCAP-ASLU Series 1000h 5.5 (Dia.) x 3.85mm"
"C7, C9, C19, C23, C26, C29",80-C0805C104M5RAC,30,6,,100nF,C0805C104M5RAC,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol"
C12,710-865090340001,5,1,,4.7 uF,8.6509E+11,SamacSys_Parts:CAPAE430X550N,"Wurth Elektronik 4.7uF 16 V dc Aluminium Electrolytic Capacitor, WCAP-ASLU Series 1000h 5.5 (Dia.) x 3.85mm"
"C24, C25",710-865080442004,10,2,,22uF,8.6508E+11,CAPAE530X550N,Wurth Elektronik 68uF Electrolytic Capacitor 6.3V dc Surface Mount - 865080442004
"C27, C28",710-865080553014,10,2,,220uF,8.65081E+11,CAPAE830X1050N,"Wurth Elektronik 220uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 8 (Dia.) x 10.35mm"
D1,621-1N5819HW-F,5,1,,1N5819HW-7-F,1N5819HW-7-F,SOD3716X145N,"Diode Schottky 1A 40V SOD123 Diodes Inc 1N5819HW-7-F, SMT Schottky Diode, 40V 1A, 2-Pin SOD-123"
D2,621-BAT760-7,5,1,,BAT760-7,BAT760-7,SOD2513X120N,"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323"
"D3, D4, D5",576-SZSMF4L5.0AT3G,15,3,,SZSMF4L5.0AT3G,SZSMF4L5.0AT3G,SODFL3824X140N,Automotive Surface Mount 400 W TVS Diode in SOD-123FL
D6,621-B140HW-7,5,1,,B140HW-7,B140HW-7,SOD3716X145N,"Diodes Inc B140HW-7, SMT Schottky Diode, 40V 1A, 2-Pin SOD-123"
IC1,556-ATM90E32AS-AU-R,5,1,,ATM90E32AS-AU-R,ATM90E32AS-AU-R,ATM90E32AS-AU-R:QFP50P900X900X120-48N,
IC2,513-NJM2882F33-TE1,5,1,,NJM2882F33-TE1,NJM2882F33-TE1,Package_TO_SOT_SMD:SOT-23-5,LDO Voltage Regulators 75dB 30uVrms 300mA 1.0uF 3.3V 350mW
IC3,621-AP63203WU-7,5,1,,AP63203WU-7,AP63203WU-7,SOT95P280X100-6N,Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K
"K1, K4",490-TB004-508-06BE,10,2,,Screw_Terminal_01x06,Screw_Terminal_01x06,TerminalBlock_RND:TerminalBlock_RND_205-00236_1x06_P5.08mm_Horizontal,"Generic screw terminal, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)"
K2,523-GSB1C41110SSHR,5,1,,GSB1C41110SSHR,GSB1C41110SSHR,GSB1C41110SSHR,"USB2.0, Type C, Top mount, Center Height 1.63mm, Single Row Surface Mount"
L1,652-SRN6028C-3R9M,5,1,,3.9uH,SRN6028C-3R9M,SRN6028C3R9M,"Ind,6.0x6.0x2.6mm,3.9uH+/-20%,3.3A,shd"
"LED3, LED4, LED5, LED6",710-150080YS75000,20,4,,Yellow Led,150080YS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode
